hole_ID,x,y,z
REX-10-051,549537.33,3622020.51,1383.8
REX-11-052,547811.24,3623439.86,1175.92
REX-11-053,547810.04,3623436.8,1175.92
REX-13-078,547042,3624582,1327.41
REX-14-079,547086,3623787,1143.31
REX-14-080,547047,3624589,1327.41
REX-15-081,546688,3624762,1213.11
REX-15-082,546346.59,3625267.3,1336.59
REX-16-083,548235,3623500,1231.82
REX-16-084,549785,3624145,1241.63
REX-16-085,545897,3629102,1373.78
REX-16-086,545638,3628946,1330.74
RGC-07-014,547692.15,3624830.49,1293.88
RGC-08-043,547704.15,3624829.49,1283.19
RGS-08-041,547740.72,3624778.57,1279.96
RGS-08-042,547710.95,3624802.89,1283.11
RMK-07-015,548607.24,3623400,1303.26
RMK-08-031,548605.81,3623397.15,1303.22
RMK-08-044,548606.67,3623396.77,1303.21
RMK-11-065,548606.67,3623589.48,1293.92
RMK-11-065B,548606.67,3623589.48,1293.72
RMK-11-067,548474.12,3623520.23,1275.6
RMK-11-070,548586.97,3623480.04,1295
RMK-11-072,548606.13,3623589.29,1293.78
RMK-12-068,548468.51,3623548.08,1275.9
RMK-12-069,548470.14,3623522.13,1275.9
RMK-12-071,548242.58,3623598.01,1202.44
RMK-12-075,548221.52,3623756.25,1182.63
RMK-12-076,548242.58,3623598.01,1202.44
RMK-12-077,548245.67,3623591.94,1202.44
RMM-06-001,548434.27,3623739.12,1153.4
RMM-06-002,548434.63,3623738.98,1153.4
RMM-06-003,548435.24,3623738.98,1153.4
RMM-07-004,548531.65,3623743.49,1160.35
RMM-07-006,548531.32,3623743.4,1160.35
RMM-07-007,548531.5,3623743.06,1160.35
RMM-07-008,548533.68,3623741.53,1160.35
RMM-07-010,548220.73,3623756.13,1182.14
RMM-07-011,548223.6,3623756.15,1182.14
RMM-07-012,548223.75,3623756.15,1182.14
RMM-07-013,548223.66,3623756.27,1182.14
RPE-08-033,548133.56,3624528.78,1264.59
RPE-08-034,548136.43,3624531.58,1264.48
RPE-08-035,548135.5,3624530.72,1264.5
RPE-08-036,548138.63,3624536.49,1264.36
RPE-08-037,548138.07,3624535.39,1264.36
RPE-08-039,548153.11,3624578.99,1273.77
RPE-08-040,548156.56,3624578.15,1273.81
RR-1R,548818.36,3623946.41,1205.99
RR-2R,548812.13,3623911.55,1204.94
RR-3R,548805.75,3623882.55,1202.57
RSS-07-005,548629.78,3625105.94,1316.74
RSS-11-073,550174.26,3622708.44,1475.54
RSS-11-074,548968.47,3625423.91,1389.89
RUM-1,547289.91,3625772.33,1397.41
RWB-07-009,548296.63,3624083.71,1313.69
S-14,549099.46,3623413.48,1307.9
S-15,549310.33,3623250.02,1328.02
S-16,548918.31,3623399.86,1254.25
S-17,549058.95,3623219.1,1309.73
S-18,548854.84,3623297.01,1311.25
S-2-1,549748.84,3624895.26,1425.98
S-21,548929.9,3623900.47,1212.5
