hole_ID,depth_from,depth_to,Ag_ppm,Al_ppm,As_ppm,Au_ppm,Ba_ppm,Be_ppm,Bi_ppm,Ca_ppm,Cd_ppm,Ce_ppm,Co_ppm,Cr_ppm,Cs_ppm,Cu_ppm,Fe_ppm,Ga_ppm,Ge_ppm,Hf_ppm,Hg_ppm,In_ppm,La_ppm,Li_ppm,Mg_ppm,Mn_ppm,Mo_ppm,Nb_ppm,Ni_ppm,P_ppm,Pb_ppm,Pd_ppm,Pt_ppm,Rb_ppm,Re_ppm,S_ppm,Sb_ppm,Sc_ppm,Se_ppm,Sn_ppm,Sr_ppm,Ta_ppm,Te_ppm,Th_ppm,Ti_ppm,Tl_ppm,U_ppm,V_ppm,W_ppm,Y_ppm,Zn_ppm,Zr_ppm
WWRC093,53,54,0.69999999,,63,0,30,0.80000001,3,,0,,86,1610,,9,,10,,,,,0,,,1530,0,,1410,120,0,0.008,0.013,,,,0,23,,,145,,,0,,0,0,103,0,,55,
WWRC093,54,55,0.5,,20,0.001,10,0,0,,0,,94,1760,,25,,0,,,,,0,,,1360,0,,1450,110,0,0.009,0.014,,,,0,20,,,143,,,0,,10,0,109,0,,59,
WWRC093,55,56,0.60000002,,5,0.003,10,0,3,,0,,94,1450,,29,,10,,,,,0,,,1280,0,,1280,140,0,0.009,0.009,,,,0,23,,,137,,,0,,10,0,131,0,,65,
WWRC093,56,57,0.60000002,,9,0.001,10,0,2,,0,,84,1320,,46,,10,,,,,0,,,1160,0,,1150,130,0,0.009,0.009,,,,0,21,,,115,,,0,,0,0,121,0,,56,
WWRC093,57,58,0.5,,6,0.005,10,0,3,,0,,87,1320,,58,,10,,,,,0,,,1190,0,,1180,140,0,0.01,0.009,,,,0,21,,,107,,,0,,0,0,125,0,,59,
WWRC093,58,59,0.69999999,,14,0.001,10,0,4,,0,,87,1460,,49,,10,,,,,0,,,1120,0,,1170,130,3,0.008,0.01,,,,0,22,,,92,,,0,,0,0,124,0,,64,
WWRC093,59,60,0.69999999,,64,0.004,10,0,3,,0,,80,1290,,24,,10,,,,,0,,,1190,0,,1060,130,6,0.009,0.011,,,,0,21,,,103,,,0,,0,0,126,0,,67,
WWRC093,60,61,0.80000001,,86,0.006,0,0,0,,0,,85,1400,,48,,10,,,,,0,,,1140,0,,1130,140,0,0.01,0.01,,,,0,22,,,84,,,0,,0,0,123,0,,62,
WWRC093,61,62,0.60000002,,50,0.002,10,0,5,,0,,87,1450,,55,,10,,,,,0,,,1200,0,,1130,150,2,0.009,0.01,,,,0,23,,,59,,,0,,10,0,132,0,,63,
WWRC093,62,63,0.60000002,,48,0.002,10,0,2,,0,,88,1180,,57,,10,,,,,0,,,1650,0,,989,170,0,0.012,0.012,,,,0,26,,,39,,,0,,0,0,143,0,,73,
