anumber,companyholeid,companysampleid,fromdepth,todepth,Ag_PPM,Al_PPM,As_PPM,Au_PPM,Ba_PPM,Be_PPM,Bi_PPM,Ca_PPM,Cd_PPM,Ce_PPM,Co_PPM,Cr_PPM,Cs_PPM,Cu_PPM,Fe_PPM,Ga_PPM,Ge_PPM,Hf_PPM,Hg_PPM,In_PPM,La_PPM,Li_PPM,Mg_PPM,Mn_PPM,Mo_PPM,Nb_PPM,Ni_PPM,P_PPM,Pb_PPM,Pd_PPM,Pt_PPM,Rb_PPM,Re_PPM,S_PPM,Sb_PPM,Sc_PPM,Se_PPM,Sn_PPM,Sr_PPM,Ta_PPM,Te_PPM,Th_PPM,Ti_PPM,Tl_PPM,U_PPM,V_PPM,W_PPM,Y_PPM,Zn_PPM,Zr_PPM
101533,BD050,ASW69896,139.5,140.5,,,21.0,0.003,,,,,,,145.0,3440.0,,0.0,,,,,,,,,,,,,2120.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,49.0,
101533,BD050,ASW69897,145.5,146.5,,,16.0,0.0040000002,,,,,,,115.0,3600.0,,0.0,,,,,,,,,,,,,2220.0,,,0.0020000001,0.0,,,,,,,,,,,,,,,,,,61.0,
101533,BD050,ASW69898,146.5,147.5,,,18.0,0.0070000002,,,,,,,110.0,2330.0,,2.0,,,,,,,,,,,,,2360.0,,,0.001,0.0,,,,,,,,,,,,,,,,,,84.0,
101533,BD050,ASW69900,152.5,153.5,,,21.0,0.001,,,,,,,102.0,740.0,,1.0,,,,,,,,,,,,,2530.0,,,0.001,0.0060000001,,,,,,,,,,,,,,,,,,37.0,
101533,BD050,ASW69901,153.5,154.5,,,20.0,0.0020000001,,,,,,,102.0,734.0,,0.0,,,,,,,,,,,,,2640.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,36.0,
101533,BD050,ASW69902,192.63,193.63,,,58.0,0.026000001,,,,,,,101.0,613.0,,0.0,,,,,,,,,,,,,2690.0,,,0.001,0.0,,,,,,,,,,,,,,,,,,9.0,
101533,BD050,ASW69903,193.63,194.63,,,97.0,0.001,,,,,,,103.0,710.0,,2.0,,,,,,,,,,,,,2590.0,,,0.001,0.0,,,,,,,,,,,,,,,,,,79.0,
101533,BD050,ASW69904,198.14999,199.14999,,,66.0,0.001,,,,,,,93.0,501.0,,1.0,,,,,,,,,,,,,2790.0,,,0.001,0.0,,,,,,,,,,,,,,,,,,27.0,
101533,BD050,ASW69905,199.14999,200.14999,,,67.0,0.001,,,,,,,86.0,504.0,,0.0,,,,,,,,,,,,,2810.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,16.0,
101533,BD050,ASW69906,203.8,204.8,,,19.0,0.001,,,,,,,100.0,422.0,,0.0,,,,,,,,,,,,,2890.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,56.0,
101533,BD050,ASW69907,204.8,205.8,,,15.0,0.001,,,,,,,103.0,448.0,,0.0,,,,,,,,,,,,,2940.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,41.0,
101533,BD050,ASW69908,205.8,206.8,,,15.0,0.0,,,,,,,112.0,470.0,,0.0,,,,,,,,,,,,,2960.0,,,0.001,0.0,,,,,,,,,,,,,,,,,,44.0,
101533,BD050,ASW69909,206.8,207.8,,,17.0,0.0020000001,,,,,,,105.0,425.0,,0.0,,,,,,,,,,,,,2620.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,20.0,
101533,BD050,ASW69910,207.8,208.8,,,13.0,0.0,,,,,,,97.0,469.0,,0.0,,,,,,,,,,,,,2850.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,35.0,
101533,BD050,ASW69911,208.8,209.8,,,14.0,0.0,,,,,,,108.0,484.0,,13.0,,,,,,,,,,,,,2770.0,,,0.001,0.0,,,,,,,,,,,,,,,,,,124.0,
101533,BD050,ASW69912,209.8,210.85001,,,14.0,0.001,,,,,,,155.0,517.0,,0.0,,,,,,,,,,,,,2700.0,,,0.001,0.0,,,,,,,,,,,,,,,,,,54.0,
101533,BD050,ASW69913,210.85001,211.89999,,,17.0,0.003,,,,,,,76.0,562.0,,0.0,,,,,,,,,,,,,2850.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,12.0,
101533,BD050,ASW69914,211.89999,212.95,,,18.0,0.003,,,,,,,182.0,509.0,,0.0,,,,,,,,,,,,,2650.0,,,0.001,0.0,,,,,,,,,,,,,,,,,,13.0,
101533,BD050,ASW69916,212.95,213.95,,,16.0,0.0040000002,,,,,,,276.0,645.0,,1.0,,,,,,,,,,,,,2820.0,,,0.0020000001,0.0,,,,,,,,,,,,,,,,,,22.0,
101533,BD050,ASW69917,213.95,214.8,,,15.0,0.0049999999,,,,,,,86.0,775.0,,1.0,,,,,,,,,,,,,2760.0,,,0.001,0.0,,,,,,,,,,,,,,,,,,14.0,
101533,BD050,ASW69918,214.8,215.7,,,12.0,0.0070000002,,,,,,,46.0,849.0,,0.0,,,,,,,,,,,,,2590.0,,,0.001,0.0,,,,,,,,,,,,,,,,,,14.0,
