ogc_fid,id,holeid,companyholeid,longitude,latitude,dataset,holetype,azimuth,dip,maxdepth,anumber,company,geom,x,y,elevation
1995824,3277186,101533ForrestaniaNMD174,NMD174,119.680579212069,-32.4596538909997,,DD,271.85999,-74.019997,248.98,101533,NEWEXCO SERVICES PTY LTD,0101000020E6100000208B1C9C8EEB5D4053A94EF0D53A40C0,6312.37737837013,18909.067818674444,0.0
1995825,3277187,101533ForrestaniaNMD175,NMD175,119.681898818063,-32.4572317825606,,DD,270.78,-71.709999,416.29999,101533,NEWEXCO SERVICES PTY LTD,0101000020E6100000BFB0F03AA4EB5D4010653092863A40C0,6458.853643703975,19177.921855414403,0.0
1995826,3277188,101533ForrestaniaNMD178,NMD178,119.68145466215,-32.4583456975409,,DD,336.17001,-52.110001,389.89999,101533,NEWEXCO SERVICES PTY LTD,0101000020E610000006E903F49CEB5D40A9996212AB3A40C0,6409.5523373608075,19054.277292600942,0.0
1995827,3277189,101533ForrestaniaNMD179,NMD179,119.680340919238,-32.4577868334529,,DD,242.13,-69.970001,144.03999,101533,NEWEXCO SERVICES PTY LTD,0101000020E61000008090A3B48AEB5D401C1C4BC2983A40C0,6285.926874129146,19116.311206368857,0.0
1995828,3277190,101533ForrestaniaNMD180,NMD180,119.680876663731,-32.4573431297633,,DD,271.82001,-63.84,179.92999,101533,NEWEXCO SERVICES PTY LTD,0101000020E610000064D5B67B93EB5D401CB13C388A3A40C0,6345.394512851342,19165.562315914223,0.0
1995829,3277191,101533ForrestaniaNMD181,NMD181,119.681056035019,-32.4567625301845,,DD,271.64999,-68.440002,144.38,101533,NEWEXCO SERVICES PTY LTD,0101000020E61000009A490D6C96EB5D401F97D031773A40C0,6365.3047258192,19230.008869161436,0.0
1995797,3277159,101533ForrestaniaXRD002,XRD002,119.74361293852,-32.4425649907811,,DD,86.510002,-61.040001,387.79999,101533,NEWEXCO SERVICES PTY LTD,0101000020E6100000DBF4B85A97EF5D4033E138F8A53840C0,13309.1210144307,20805.935742938585,0.0
1995800,3277162,101533ForrestaniaVLLD032,VLLD032,119.689952566404,-32.4319296044264,,DD,269.51999,-60.0,294.5,101533,NEWEXCO SERVICES PTY LTD,0101000020E6100000C61FCF2E28EC5D40C2972278493740C0,7352.819709554794,21986.46362831028,0.0
1995801,3277163,101533ForrestaniaVLLD033,VLLD033,119.689953108257,-32.4315688700113,,DD,269.51999,-63.0,300.5,101533,NEWEXCO SERVICES PTY LTD,0101000020E610000031EF143128EC5D40C95513A63D3740C0,7352.879855237575,22026.505148386776,0.0
1995773,3277135,101533ForrestaniaNMD183,NMD183,119.683123608383,-32.4407723956348,,DD,267.5,-73.800003,214.07001,101533,NEWEXCO SERVICES PTY LTD,0101000020E61000005A48154CB8EB5D40931DD83A6B3840C0,6594.805369223408,21004.91380417772,0.0
1995774,3277136,101533ForrestaniaNMD184,NMD184,119.685665378037,-32.4402493034753,,DD,269.89999,-61.5,349.64001,101533,NEWEXCO SERVICES PTY LTD,0101000020E6100000C7AA09F1E1EB5D40B041D4165A3840C0,6876.941800817604,21062.977033882697,0.0
1995775,3277137,101533ForrestaniaNMD185,NMD185,119.685228296816,-32.4427202558836,,DD,291.20001,-58.099998,359.19,101533,NEWEXCO SERVICES PTY LTD,0101000020E61000009647C9C7DAEB5D40FE25AE0EAB3840C0,6828.4257852872515,20788.701316561153,0.0
