ogc_fid,id,collarid,holeid,anumber,companyholeid,company,maxdepth,depth,hfield,calcdip,calcazi,wkb_geometry
1110391,3665919,3665919,102386HydenZK101-1,102386,ZK101-1,Goldstone Resources Pty Ltd,350.10001,350.10001,GSWA_Azi,-75.0,225.0,
1017888,3277137,3277137,101533ForrestaniaNMD185,101533,NMD185,NEWEXCO SERVICES PTY LTD,359.19,359.19,GSWA_Azi,-58.099998,291.2,
1017889,3277148,3277148,101533ForrestaniaWBD201,101533,WBD201,NEWEXCO SERVICES PTY LTD,384.92999,384.92999,GSWA_Azi,-60.599998,275.6,
1142441,3277091,3277091,101533ForrestaniaSFD008,101533,SFD008,NEWEXCO SERVICES PTY LTD,168.39999,168.39999,GSWA_Azi,-59.900002,295.0,
1142442,3277108,3277108,101533ForrestaniaWLL007,101533,WLL007,NEWEXCO SERVICES PTY LTD,264.51999,264.51999,GSWA_Azi,-60.099998,268.0,
1142443,3277109,3277109,101533ForrestaniaWLL008,101533,WLL008,NEWEXCO SERVICES PTY LTD,267.94,267.94,GSWA_Azi,-64.900002,270.9,
1218743,3277111,3277111,101533ForrestaniaWLL010,101533,WLL010,NEWEXCO SERVICES PTY LTD,385.22,385.22,GSWA_Azi,-78.699997,269.9,
1538624,3277184,3277184,101533ForrestaniaNMD168,101533,NMD168,NEWEXCO SERVICES PTY LTD,360.62,360.62,GSWA_Azi,-66.580002,269.08,
1278528,3277188,3277188,101533ForrestaniaNMD178,101533,NMD178,NEWEXCO SERVICES PTY LTD,389.89999,389.89999,GSWA_Azi,-52.110001,336.17,
1278530,3277136,3277136,101533ForrestaniaNMD184,101533,NMD184,NEWEXCO SERVICES PTY LTD,349.64001,349.64001,GSWA_Azi,-61.5,269.9,
1538628,3277163,3277163,101533ForrestaniaVLLD033,101533,VLLD033,NEWEXCO SERVICES PTY LTD,300.5,300.5,GSWA_Azi,-63.0,269.517,
1538629,3277101,3277101,101533ForrestaniaVLLP018,101533,VLLP018,NEWEXCO SERVICES PTY LTD,399.57999,399.57999,GSWA_Azi,-60.200001,269.7,
1538630,3277106,3277106,101533ForrestaniaWLL005,101533,WLL005,NEWEXCO SERVICES PTY LTD,652.15997,652.15997,GSWA_Azi,-71.099998,269.8,
1278532,3277104,3277104,101533ForrestaniaWLL003,101533,WLL003,NEWEXCO SERVICES PTY LTD,279.32001,279.32001,GSWA_Azi,-60.200001,272.4,
1278533,3277105,3277105,101533ForrestaniaWLL004,101533,WLL004,NEWEXCO SERVICES PTY LTD,342.76999,342.76999,GSWA_Azi,-50.200001,269.4,
1278534,3277159,3277159,101533ForrestaniaXRD002,101533,XRD002,NEWEXCO SERVICES PTY LTD,387.79999,387.79999,GSWA_Azi,-61.040001,86.51,
1504395,3277103,3277103,101533ForrestaniaWLL002,101533,WLL002,NEWEXCO SERVICES PTY LTD,453.23001,453.23001,GSWA_Azi,-55.5,304.3,
1504396,3277112,3277112,101533ForrestaniaWLL011,101533,WLL011,NEWEXCO SERVICES PTY LTD,607.16998,607.16998,GSWA_Azi,-72.099998,268.8,
1686706,3277183,3277183,101533ForrestaniaNMD167,101533,NMD167,NEWEXCO SERVICES PTY LTD,309.28,309.28,GSWA_Azi,-55.169998,269.43,
1686707,3277185,3277185,101533ForrestaniaNMD171,101533,NMD171,NEWEXCO SERVICES PTY LTD,125.85,125.85,GSWA_Azi,-55.439999,271.21,
1686708,3277191,3277191,101533ForrestaniaNMD181,101533,NMD181,NEWEXCO SERVICES PTY LTD,144.38,144.38,GSWA_Azi,-68.440002,271.65,
1686712,3277149,3277149,101533ForrestaniaWBD202,101533,WBD202,NEWEXCO SERVICES PTY LTD,360.67001,360.67001,GSWA_Azi,-67.199997,257.6,
1686713,3277151,3277151,101533ForrestaniaWWRC092,101533,WWRC092,NEWEXCO SERVICES PTY LTD,196.0,196.0,GSWA_Azi,-69.400002,271.2,
1798746,3638313,3638313,102924ForrestaniaNH12-01,102924,NH12-01,Cassini Resources Limited,12.0,12.0,GSWA_Azi,-90.0,0.0,
